"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SPOCK2.3",3.79902242133026e-19,-2.48716195741096,0.053,0.339,1.27411613966574e-14,"5","SPOCK2"
"BIRC3.2",4.12146551943471e-19,-1.84182382039287,0.07,0.372,1.38225710590801e-14,"5","BIRC3"
"FNBP1.1",4.74376628588404e-19,-1.88772928647373,0.074,0.377,1.59096433695979e-14,"5","FNBP1"
"CD55.2",5.65490698634453e-19,-2.25992539006665,0.119,0.417,1.89654270508023e-14,"5","CD55"
"NEDD9",7.53452669465207e-19,2.5108954693799,0.329,0.141,2.52692956285241e-14,"5","NEDD9"
"MGST3.4",8.62476922531636e-19,1.84610747889585,0.502,0.309,2.8925751027866e-14,"5","MGST3"
"ITGA4.3",9.21301433815367e-19,-8.09033013509436,0,0.253,3.08986074872998e-14,"5","ITGA4"
"PNISR",9.38391757894982e-19,-1.11658143542609,0.185,0.525,3.14717827762819e-14,"5","PNISR"
"ABLIM1",1.08257935595315e-18,2.49865583673862,0.276,0.101,3.63075464399566e-14,"5","ABLIM1"
"ITK.3",1.13389520682203e-18,-6.53295356183224,0.004,0.258,3.80285774463971e-14,"5","ITK"
"DOCK8.1",1.24107453392575e-18,-3.82855712401529,0.004,0.26,4.1623157718802e-14,"5","DOCK8"
"MBP.2",1.32689069941294e-18,-4.34543034812326,0.004,0.26,4.45012602769111e-14,"5","MBP"
"LEPROTL1.4",1.44498919391244e-18,-1.42924143769759,0.14,0.459,4.84620475854354e-14,"5","LEPROTL1"
"PTPN22.3",1.4711259805854e-18,-6.39099526633106,0.004,0.257,4.93386231368733e-14,"5","PTPN22"
"RORA.3",1.91024862117216e-18,-2.9597982179997,0.053,0.328,6.4065918256872e-14,"5","RORA"
"CTNNA1",2.35006566111635e-18,2.33204848415499,0.259,0.089,7.88165021425202e-14,"5","CTNNA1"
"SRP14",3.17383349691519e-18,1.48311349833322,0.691,0.677,1.06444027819542e-13,"5","SRP14"
"CD96.4",5.59175904635036e-18,-4.10303225976324,0.008,0.259,1.87536414896498e-13,"5","CD96"
"ARID5B.1",5.74055458103228e-18,-1.45963201633845,0.111,0.412,1.92526719538661e-13,"5","ARID5B"
"ATP2B1.1",5.90390962745175e-18,-2.01108108727257,0.082,0.367,1.98005321085477e-13,"5","ATP2B1"
"CDKN1A",6.83990792281454e-18,2.20951572530617,0.354,0.164,2.29396831915354e-13,"5","CDKN1A"
"CD164",8.60642241619046e-18,-2.14767036141549,0.074,0.359,2.88642194994196e-13,"5","CD164"
"PDE7A.2",9.81755873074383e-18,-3.72366406787886,0.012,0.263,3.29261284711687e-13,"5","PDE7A"
"IQGAP2.3",1.72397210858958e-17,-3.53560695030317,0.008,0.255,5.78185765778772e-13,"5","IQGAP2"
"GZMK.4",1.77390577538264e-17,-5.55148720829063,0.012,0.256,5.94932518947831e-13,"5","GZMK"
"GNG2.3",1.83577797290357e-17,-2.90383946257271,0.021,0.278,6.15683216552399e-13,"5","GNG2"
"SYAP1.2",2.0514303954255e-17,-2.04722846721891,0.074,0.352,6.88008726017805e-13,"5","SYAP1"
